group_by_sex,group_by_1,group_by_label_1,group_by_value_1,group_by_2,variable,prevalence,mean,median,sd,percentile_025,percentile_750
NA,Bin,bin 1,1,NA,Sex_cat2_0,35.3,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,Sex_cat2_1,64.7,NA,NA,NA,NA,NA
NA,Bin,bin 1,1,NA,Age_cont,NA,80.79,82,10.63,74,89
NA,Bin,bin 2,2,NA,A1_cat7_0,11.9,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,A1_cat7_1,12.9,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,A1_cat7_2,11.8,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,A1_cat7_3,14.3,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,A1_cat7_4,17,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,A1_cat7_5,14.1,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,A1_cat7_6,18,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,A2_cat5_0,55.2,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,A2_cat5_1,13.7,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,A2_cat5_2,6.8,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,A2_cat5_3,21.5,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,A2_cat5_4,2.8,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,ADL_cat7_0,8.3,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,ADL_cat7_1,8.2,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,ADL_cat7_2,17.7,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,ADL_cat7_3,8.5,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,ADL_cat7_4,22.4,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,ADL_cat7_5,24,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,ADL_cat7_6,11,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,B2B_cat2_0,55.3,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,B2B_cat2_1,44.7,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,BB6_cat5_0,17.8,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,BB6_cat5_1,11.1,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,BB6_cat5_2,5.7,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,BB6_cat5_3,10.5,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,BB6_cat5_4,54.9,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,Cancer_cat6_0,24.7,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,Cancer_cat6_1,0,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,Cancer_cat6_2,0.1,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,Cancer_cat6_3,67.5,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,Cancer_cat6_4,0.3,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,Cancer_cat6_5,7.4,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,H3_cat2_0,2.7,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,H3_cat2_1,97.3,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,IADL_cat7_0,0,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,IADL_cat7_1,0,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,IADL_cat7_2,0.7,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,IADL_cat7_3,0.1,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,IADL_cat7_4,2.8,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,IADL_cat7_5,48.5,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,IADL_cat7_6,47.8,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,J1A_cat2_0,87.3,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,J1A_cat2_1,12.7,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,J1B_cat2_0,73.6,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,J1B_cat2_1,26.4,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,J1C_cat2_0,70.2,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,J1C_cat2_1,29.8,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,J1DE_cat2_0,84.4,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,J1DE_cat2_1,15.6,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,J1D_cat2_0,51.5,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,J1D_cat2_1,48.5,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,J1K_cat2_0,100,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,J1K_cat2_1,0,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,J1L_cat2_0,98.4,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,J1L_cat2_1,1.6,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,K2E_cat2_0,88.4,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,K2E_cat2_1,11.6,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,K3D_cat2_0,61.2,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,K3D_cat2_1,38.8,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,K3E_cat2_0,36.2,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,K3E_cat2_1,63.8,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,K8E_cat2_0,23.9,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,K8E_cat2_1,76.1,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,L1A_cat2_0,38.2,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,L1A_cat2_1,61.8,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,L2B_cat2_0,55.5,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,L2B_cat2_1,44.5,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,L2C_cat2_0,79.4,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,L2C_cat2_1,20.6,NA,NA,NA,NA,NA
NA,Bin,bin 2,2,NA,Oxygen_cat6_0,48.7,NA,NA,NA,NA,NA
